age,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,y
56,1,1,1,1,1,1,1,5,3,1,0
57,2,1,2,0,1,1,1,5,3,1,0
37,2,1,2,1,2,1,1,5,3,1,0
40,3,1,3,1,1,1,1,5,3,1,0
56,2,1,2,1,1,2,1,5,3,1,0
45,2,1,4,0,1,1,1,5,3,1,0
59,3,1,5,1,1,1,1,5,3,1,0
41,5,1,0,0,1,1,1,5,3,1,0
24,6,2,5,1,2,1,1,5,3,1,0
25,2,2,2,1,2,1,1,5,3,1,0
41,5,1,0,0,1,1,1,5,3,1,0
25,2,2,2,1,2,1,1,5,3,1,0
29,5,2,2,1,1,2,1,5,3,1,0
57,1,3,1,1,2,1,1,5,3,1,0
35,5,1,3,1,2,1,1,5,3,1,0
54,7,1,4,0,2,2,1,5,3,1,0
35,5,1,3,1,2,1,1,5,3,1,0
46,5,1,3,0,2,2,1,5,3,1,0
50,5,1,4,1,2,2,1,5,3,1,0
39,8,2,4,0,1,1,1,5,3,1,0
30,9,1,2,1,1,1,1,5,3,1,0
55,5,1,1,0,2,1,1,5,3,1,0
55,7,2,2,1,2,1,1,5,3,1,0
41,6,2,2,1,2,1,1,5,3,1,0
37,3,1,2,1,2,1,1,5,3,1,0
35,6,1,6,1,1,2,1,5,3,1,0
59,6,1,0,1,2,1,1,5,3,1,0
39,10,1,4,0,1,1,1,5,3,1,0
54,6,2,6,0,1,1,1,5,3,1,0
55,0,1,6,0,0,0,1,5,3,1,0
46,3,1,0,1,1,1,1,5,3,1,0
59,6,1,0,1,2,1,1,5,3,1,0
49,5,1,0,1,1,1,1,5,3,1,0
54,8,1,1,0,2,1,1,5,3,1,0
54,5,3,1,1,1,1,1,5,3,1,0
55,0,1,1,0,2,1,1,5,3,1,0
34,2,1,2,1,1,1,1,5,3,1,0
52,6,1,4,1,2,1,1,5,3,1,0
41,3,1,6,1,2,1,1,5,3,1,0
56,6,1,1,1,2,1,1,5,3,1,0
58,8,0,6,1,2,1,1,5,3,1,0
32,11,1,2,1,2,1,1,5,3,1,0
38,3,2,5,1,1,1,1,5,3,1,0
57,3,1,6,1,1,2,1,5,3,1,0
44,3,1,6,0,2,1,1,5,3,1,0
42,6,2,5,0,1,1,1,5,3,1,0
57,3,1,6,1,2,2,1,5,3,1,0
40,5,1,4,1,1,2,1,5,3,1,0
35,3,1,6,1,2,1,1,5,3,1,0
45,5,1,4,1,2,1,1,5,3,1,0
54,3,1,2,1,1,1,1,5,3,1,0
39,1,1,1,1,1,2,1,5,3,1,0
60,3,1,2,1,1,1,1,5,3,1,0
53,3,2,5,1,1,1,1,5,3,1,0
55,5,1,1,0,1,1,1,5,3,1,0
55,6,1,5,0,2,1,1,5,3,1,0
50,8,1,6,0,1,2,1,5,3,1,0
45,2,1,2,0,2,1,1,5,3,1,0
55,9,1,5,0,2,2,1,5,3,1,0
25,6,2,6,1,2,1,1,5,3,1,0
47,11,1,6,0,1,1,1,5,3,1,0
51,5,1,4,1,2,1,1,5,3,1,0
42,5,1,3,0,2,1,1,5,3,1,0
42,5,1,3,0,1,1,1,5,3,1,0
48,3,1,2,1,1,1,1,5,3,1,0
37,3,1,6,1,1,1,1,5,3,1,0
44,5,2,4,1,2,1,1,5,3,1,0
33,3,1,0,1,2,1,1,5,3,1,0
56,3,1,4,1,2,1,1,5,3,1,0
44,5,2,1,0,2,2,1,5,3,1,0
41,8,1,3,1,1,1,1,5,3,1,0
44,8,3,6,1,2,1,1,5,3,1,0
47,3,1,6,0,2,1,1,5,3,1,0
57,0,1,0,0,1,1,1,5,3,1,0
37,3,1,6,0,2,1,1,5,3,1,0
41,5,3,1,0,2,1,1,5,3,1,1
55,6,1,6,1,1,1,1,5,3,1,0
33,2,1,2,0,2,1,1,5,3,1,0
55,8,1,0,0,2,1,1,5,3,1,0
42,5,1,4,0,1,1,1,5,3,1,0
50,5,1,1,0,2,1,1,5,3,1,0
